file_name,location,date,x_coordiate,y_coordiate,long_axis,short_axis,angle
BMGMC_009_7_1_15_layer2,9,7/1/2015,435.9906197,1209.535207,561.4233878,167.9096446,1.519581783
BMGMC_009_7_1_15_layer2,9,7/1/2015,1373,1173,304.579236,62.16898537,-1.518130809
BMGMC_009_7_1_15_layer2,9,7/1/2015,1601.5,1379.5,175.4524248,99.14324022,1.570796327
BMGMC_009_7_1_15_layer2,9,7/1/2015,1425.500648,1627.221268,180.4352546,97.9950529,-1.379909326
BMGMC_009_7_1_15_layer3,9,7/1/2015,1794.243633,808.7484989,475.2787322,223.1928223,-1.238259054
BMGMC_009_7_1_15_layer4,9,7/1/2015,1539.769395,960.4939771,740.3061511,187.9346469,-1.414850378
BMGMC_009_7_1_15_layer4,9,7/1/2015,1881.51309,1326.012457,546.7747058,238.6306461,1.342555632
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,1690.393995,490.4,681.5087029,158.1978652,1.570722162
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,655.4873656,366.4926173,403.3364425,172.2142777,1.46517465
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,305.48279,471.5063989,343.6465802,167.8441594,1.528337443
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,1266.498991,984.5050764,690.5349631,236.3208499,1.467439379
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,1840.515011,884.5005361,266.2519916,173.9425589,-1.470726312
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,1592.5,975.5,211.7841412,95.62603392,1.570796327
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,553.4990025,1074.466428,283.0681455,211.3747569,1.228997625
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,1946.466376,1111.997897,226.2292992,108.4048396,-1.456211203
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,904.4916335,1227.498381,345.3256467,194.6784292,1.281501135
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,1891.5,1505.5,426.5270786,121.6140386,1.570796327
BMGMC_013_baseline_7_2_15_layer1,13,7/2/2015,474.5,1473.5,319.1366117,161.4483548,1.570796327
BMGMC_013_baseline_7_2_15_layer2,13,7/2/2015,1209.5,471.5,312.1877024,128.6053041,1.570796327
BMGMC_013_baseline_7_2_15_layer2,13,7/2/2015,189.0044292,481.49367,218.4392071,118.4425878,1.419528445
BMGMC_013_baseline_7_2_15_layer2,13,7/2/2015,715.4175995,898.463683,577.8028473,216.4344395,1.392708569
BMGMC_013_baseline_7_2_15_layer2,13,7/2/2015,342.4898666,875.5025592,411.2440354,101.1706006,1.243521821
BMGMC_013_baseline_7_2_15_layer2,13,7/2/2015,1103.504768,1176.495454,550.1530888,226.8015345,1.446587621
BMGMC_013_baseline_7_2_15_layer2,13,7/2/2015,1443.492835,1249.499093,536.73683,212.9408841,-1.458913031
BMGMC_013_baseline_7_2_15_layer2,13,7/2/2015,1817.493024,1130.489302,203.1551484,155.3198905,-1.307765855
BMGMC_013_baseline_7_2_15_layer3,13,7/2/2015,439.5088104,739.50153,310.0856218,145.9324256,-1.489603498
BMGMC_013_baseline_7_2_15_layer3,13,7/2/2015,976.5,869.5,315.6969551,150.3107401,-1.230139108
BMGMC_013_baseline_7_2_15_layer3,13,7/2/2015,285.4919928,1172.492675,532.5304709,204.9127139,1.499259481
BMGMC_013_baseline_7_2_15_layer3,13,7/2/2015,1550.5,1166,290.7267346,102.5916991,1.570796327
BMGMC_010_7_2_15_layer1,10,7/2/2015,718.5048614,202.4933865,280.0548776,99.25149335,-1.235452654
BMGMC_010_7_2_15_layer1,10,7/2/2015,1199.5,341.5,391.7756137,267.1237981,1.570796327
BMGMC_010_7_2_15_layer1,10,7/2/2015,463.2723998,408.5577024,151.5414919,96.21283829,1.344776392
BMGMC_010_7_2_15_layer1,10,7/2/2015,1671.5,647.5,445.8039476,208.6920292,-1.516159313
BMGMC_010_7_2_15_layer1,10,7/2/2015,478.5095353,909.5004731,411.3870256,174.1804046,1.419031781
BMGMC_010_7_2_15_layer1,10,7/2/2015,999.4951536,813.4993921,214.4462708,135.5279533,1.346707342
BMGMC_010_7_2_15_layer1,10,7/2/2015,1216.814669,1291.070226,482.9502192,214.2973629,1.514048993
BMGMC_010_7_2_15_layer1,10,7/2/2015,1544.794761,1285.671727,346.5059739,121.0929876,-1.388521714
BMGMC_010_7_2_15_layer1,10,7/2/2015,974.020979,1327.404204,213.7366025,112.4481533,1.498608037
